
~2025-05-21 17:40:04 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:27:17 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:27:17 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:27:17 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:27:17 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:27:17 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:27:17 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:27:17 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:27:17 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:27:17 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:27:17 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:27:17 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:27:17 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:27:17 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:27:17 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:27:17 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:27:17 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:27:17 - [OK] Auditado: relatorio_auditoria.json - Hash: 9B63903F...
2025-05-21 19:27:17 - [OK] Auditado: relatorio_auditoria.txt - Hash: 5BCD6C99...
2025-05-21 19:27:17 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:27:17 - [OK] Auditado: auditoria_log.txt - Hash: 92E89BB6...
2025-05-21 19:27:17 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:27:17 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:27:17 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:27:17 - [OK] Auditoria concluida.
2025-05-21 19:28:13 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:28:14 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:28:14 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:28:14 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:28:14 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:28:14 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:28:14 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:28:14 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:28:14 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:28:14 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:28:14 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:28:14 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:28:14 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:28:14 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:28:14 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:28:14 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:28:14 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:28:14 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:28:14 - [OK] Auditado: relatorio_auditoria.json - Hash: 39B2B231...
2025-05-21 19:28:14 - [OK] Auditado: relatorio_auditoria.txt - Hash: C3EBC303...
2025-05-21 19:28:14 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:28:14 - [OK] Auditado: auditoria_log.txt - Hash: 93D69286...
2025-05-21 19:28:14 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:28:14 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:28:14 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:28:14 - [OK] Auditoria concluida.
2025-05-21 19:28:15 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:28:16 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:28:16 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:28:16 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:28:16 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:28:16 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:28:16 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:28:16 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:28:16 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:28:16 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:28:16 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:28:16 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:28:16 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:28:16 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:28:16 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:28:16 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:28:16 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:28:16 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:28:16 - [OK] Auditado: relatorio_auditoria.json - Hash: B0B36300...
2025-05-21 19:28:16 - [OK] Auditado: relatorio_auditoria.txt - Hash: 2809E4CC...
2025-05-21 19:28:16 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:28:16 - [OK] Auditado: auditoria_log.txt - Hash: 3697FCDF...
2025-05-21 19:28:16 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:28:16 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:28:16 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:28:16 - [OK] Auditoria concluida.
2025-05-21 19:30:22 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:30:22 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:30:22 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:30:22 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:30:22 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:30:22 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:30:22 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:30:22 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:30:22 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:30:22 - [OK] Auditado: secretaria_virtual.exe - Hash: B625469B...
2025-05-21 19:30:22 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:30:22 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:30:22 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:30:22 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:30:22 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:30:22 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:30:22 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:30:22 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:30:22 - [OK] Auditado: relatorio_auditoria.json - Hash: 918084E6...
2025-05-21 19:30:22 - [OK] Auditado: relatorio_auditoria.txt - Hash: C8FCAE8B...
2025-05-21 19:30:22 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:30:22 - [OK] Auditado: auditoria_log.txt - Hash: F418D3A8...
2025-05-21 19:30:22 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:30:22 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:30:22 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:30:22 - [OK] Auditoria concluida.
2025-05-21 19:30:52 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:30:52 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:30:52 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:30:52 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:30:52 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:30:52 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:30:52 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:30:52 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:30:52 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:30:52 - [OK] Auditado: secretaria_virtual.exe - Hash: B625469B...
2025-05-21 19:30:52 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:30:52 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:30:52 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:30:52 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:30:52 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:30:53 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:30:53 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:30:53 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:30:53 - [OK] Auditado: relatorio_auditoria.json - Hash: 23FFB954...
2025-05-21 19:30:53 - [OK] Auditado: relatorio_auditoria.txt - Hash: 4B50DDC8...
2025-05-21 19:30:53 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:30:53 - [OK] Auditado: auditoria_log.txt - Hash: 1EC2D579...
2025-05-21 19:30:53 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:30:53 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:30:53 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:30:53 - [OK] Auditoria concluida.
2025-05-21 19:30:53 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:30:54 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:30:54 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:30:54 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:30:54 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:30:54 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:30:54 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:30:54 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:30:54 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:30:54 - [OK] Auditado: secretaria_virtual.exe - Hash: B625469B...
2025-05-21 19:30:54 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:30:54 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:30:54 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:30:54 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:30:54 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:30:54 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:30:54 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:30:54 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:30:54 - [OK] Auditado: relatorio_auditoria.json - Hash: 88DBE721...
2025-05-21 19:30:54 - [OK] Auditado: relatorio_auditoria.txt - Hash: 8F915DC0...
2025-05-21 19:30:54 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:30:54 - [OK] Auditado: auditoria_log.txt - Hash: C6C7A077...
2025-05-21 19:30:54 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:30:54 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:30:54 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:30:54 - [OK] Auditoria concluida.
2025-05-21 19:32:05 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:32:05 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:32:05 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:32:05 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:32:05 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:32:05 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:32:05 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:32:05 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:32:05 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:32:05 - [OK] Auditado: secretaria_virtual.exe - Hash: F0AFB3A8...
2025-05-21 19:32:05 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:32:05 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:32:05 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:32:05 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:32:05 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:32:05 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:32:05 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:32:05 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:32:05 - [OK] Auditado: relatorio_auditoria.json - Hash: 42FC0D58...
2025-05-21 19:32:05 - [OK] Auditado: relatorio_auditoria.txt - Hash: 36FE9FCB...
2025-05-21 19:32:05 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:32:05 - [OK] Auditado: auditoria_log.txt - Hash: 564EE90E...
2025-05-21 19:32:05 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:32:05 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:32:05 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:32:05 - [OK] Auditoria concluida.
2025-05-21 19:32:32 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:32:32 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:32:32 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:32:32 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:32:32 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:32:32 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:32:32 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:32:32 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:32:32 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:32:32 - [OK] Auditado: secretaria_virtual.exe - Hash: F0AFB3A8...
2025-05-21 19:32:32 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:32:32 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:32:32 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:32:32 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:32:32 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:32:32 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:32:32 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:32:32 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:32:32 - [OK] Auditado: relatorio_auditoria.json - Hash: F33AF32E...
2025-05-21 19:32:32 - [OK] Auditado: relatorio_auditoria.txt - Hash: AAE0E6D2...
2025-05-21 19:32:32 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:32:32 - [OK] Auditado: auditoria_log.txt - Hash: 76D86F2B...
2025-05-21 19:32:32 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:32:32 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:32:32 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:32:32 - [OK] Auditoria concluida.
2025-05-21 19:32:34 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:32:34 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:32:34 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:32:34 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:32:34 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:32:34 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:32:34 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:32:34 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:32:34 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:32:34 - [OK] Auditado: secretaria_virtual.exe - Hash: F0AFB3A8...
2025-05-21 19:32:34 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:32:34 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:32:34 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:32:34 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:32:34 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:32:34 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:32:34 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:32:34 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:32:34 - [OK] Auditado: relatorio_auditoria.json - Hash: 36DEFBD7...
2025-05-21 19:32:34 - [OK] Auditado: relatorio_auditoria.txt - Hash: 793941E5...
2025-05-21 19:32:34 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:32:34 - [OK] Auditado: auditoria_log.txt - Hash: DFDCFD0C...
2025-05-21 19:32:34 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:32:34 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:32:34 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:32:34 - [OK] Auditoria concluida.
2025-05-21 19:34:42 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:34:42 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:34:42 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:34:42 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:34:42 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:34:42 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:34:42 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:34:42 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:34:42 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:34:42 - [OK] Auditado: secretaria_virtual.exe - Hash: F0AFB3A8...
2025-05-21 19:34:42 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:34:42 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:34:42 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:34:42 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:34:42 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:34:42 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:34:42 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:34:42 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:34:42 - [OK] Auditado: relatorio_auditoria.json - Hash: 32E53057...
2025-05-21 19:34:42 - [OK] Auditado: relatorio_auditoria.txt - Hash: 92DF3430...
2025-05-21 19:34:42 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:34:42 - [OK] Auditado: auditoria_log.txt - Hash: 2DE05C8A...
2025-05-21 19:34:42 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:34:42 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:34:42 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:34:42 - [OK] Auditoria concluida.
2025-05-21 19:34:50 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:34:50 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:34:50 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:34:50 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:34:50 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:34:50 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:34:50 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:34:50 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:34:50 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:34:50 - [OK] Auditado: secretaria_virtual.exe - Hash: F0AFB3A8...
2025-05-21 19:34:50 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:34:50 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:34:50 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:34:50 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:34:50 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:34:50 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:34:50 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:34:50 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:34:50 - [OK] Auditado: relatorio_auditoria.json - Hash: B1C1A3DD...
2025-05-21 19:34:50 - [OK] Auditado: relatorio_auditoria.txt - Hash: 999D94F7...
2025-05-21 19:34:50 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:34:50 - [OK] Auditado: auditoria_log.txt - Hash: 9279520A...
2025-05-21 19:34:50 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:34:50 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:34:50 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:34:50 - [OK] Auditoria concluida.
2025-05-21 19:37:42 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:37:42 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:37:42 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:37:42 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:37:42 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:37:42 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:37:42 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:37:42 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:37:42 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:37:42 - [OK] Auditado: secretaria_virtual.exe - Hash: F6C8CD9E...
2025-05-21 19:37:42 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:37:42 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:37:42 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:37:42 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: 0760751D...
2025-05-21 19:37:42 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:37:42 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:37:42 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:37:42 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:37:42 - [OK] Auditado: relatorio_auditoria.json - Hash: 27A219EA...
2025-05-21 19:37:42 - [OK] Auditado: relatorio_auditoria.txt - Hash: F3794D31...
2025-05-21 19:37:42 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:37:42 - [OK] Auditado: auditoria_log.txt - Hash: 95BD174A...
2025-05-21 19:37:42 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:37:42 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:37:42 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
